regime,state,group,year,ci90_width,width_pct_change_vs_main
floor_low,Delhi,By2016,2030,0.33646937924883025,0.16981924193390585
floor_low,Delhi,By2016,2040,0.4445267095884322,1.5829725211244163
floor_low,Delhi,By2016,2050,0.4851109608611781,-2.2857616019988956
floor_low,Goa,Pre2001,2030,0.4680358559410229,0.24149546530346894
floor_low,Goa,Pre2001,2040,0.5198448266241104,-0.5867961620878366
floor_low,Goa,Pre2001,2050,0.5508122612847675,-1.364667812738391
floor_low,Gujarat,By2016,2030,0.4595827062995663,-0.12474004364075408
floor_low,Gujarat,By2016,2040,0.5579377821117322,-2.802797994064754
floor_low,Gujarat,By2016,2050,0.6041783632230135,-0.5955046870327869
floor_low,Haryana,By2016,2030,0.45756438733105975,-4.8853421719525745
floor_low,Haryana,By2016,2040,0.5665538537490586,-5.671732536576795
floor_low,Haryana,By2016,2050,0.6033581720342853,-3.5177678966071935
floor_low,Himachal Pradesh,By2011,2030,0.42030353569476064,-3.3768935627999173
floor_low,Himachal Pradesh,By2011,2040,0.5242428512558641,-1.5156297588307948
floor_low,Himachal Pradesh,By2011,2050,0.5496336970610932,-2.587184081099756
floor_low,Jammu & Kashmir,By2016,2030,0.3829026542516405,0.7008057327768493
floor_low,Jammu & Kashmir,By2016,2040,0.4911341638774569,-1.9436436547415763
floor_low,Jammu & Kashmir,By2016,2050,0.5294854548965255,-1.9441500892382904
floor_low,Jharkhand,NotYet,2030,0.48340681343192315,-1.793225432174447
floor_low,Jharkhand,NotYet,2040,0.6021052160631932,-4.405415645611782
floor_low,Jharkhand,NotYet,2050,0.6595060064951186,-2.41287473204158
floor_low,Karnataka,By2011,2030,0.4242341677870116,-3.776732665433164
floor_low,Karnataka,By2011,2040,0.5208338928939451,-0.8310959228188616
floor_low,Karnataka,By2011,2050,0.5504281069706651,-0.9503158768674757
floor_low,Kerala,Pre2001,2030,0.3900614926579642,-3.684838218955365
floor_low,Kerala,Pre2001,2040,0.5065558562534962,1.0158881165183038
floor_low,Kerala,Pre2001,2050,0.543643226933906,-0.7989411576208398
floor_low,Ladakh,By2016,2030,0.3910164450431455,1.4960762509660863
floor_low,Ladakh,By2016,2040,0.4651330534631847,-1.942712269879706
floor_low,Ladakh,By2016,2050,0.5005066410121691,-2.9536124263259613
floor_low,Lakshadweep,By2011,2030,0.5459235160463269,1.4067753053237593
floor_low,Lakshadweep,By2011,2040,0.5716938436134307,-4.853950335321488
floor_low,Lakshadweep,By2011,2050,0.5809768156591735,-1.8583810233550793
floor_low,Madhya Pradesh,By2021,2030,0.5273856813121172,-2.2263207201996464
floor_low,Madhya Pradesh,By2021,2040,0.649576348126911,-4.417801101636617
